Version|5
Timestamp Start|20120221_190637
Timestamp Ende|20120221_190657
Triggernummer|3140
Trigger-Timestamp|20120221_190647
DD-Sensor|03B00055U
Konfiguration|03B00055U_20111122_113546.dcf
Triggergrund|Verzoegerung
GPS Start|20120221_190637|51.02978000|13.75716000
GPS Ende|20120221_190657|51.03359600|13.75015800
GPS Trigger|20120221_190648|51.03326300|13.75030300
GPS alt|||
Zeit|Signal|Wert|Einheit
0.16400|Zusatz_GW_Oeldruck_WL|aus|
0.16500|Airbag_WL|aus|---
0.16500|Airbag_WL_1|aus|---
0.16500|Gurt_VL|gesteckt|---
0.16500|Zusatz_GW_Gurt_WL|aus|
0.16500|Lenkrad_W_B|3.98580000|°
0.16500|Lenkrad_W_R|links|---
0.16500|Lenkrad_W_v_B|0.00000000|°/s
0.16500|Lenkrad_W_v_R|links|°/s
0.16900|Blinker_L_S|aus|---
0.16900|Blinker_R_S|aus|---
0.16900|Blinker_Warnblinker_S|aus|---
0.16900|Licht_Abblend_S|an|---
0.16900|Licht_Fern_S|aus|---
0.16900|Licht_Hupe_S|aus|---
0.16900|Licht_Nebelschluss_S|aus|---
0.16900|Licht_Stand_S|an|---
0.16900|Zusatz_GW_Gurt_WL_1|aus|
0.16900|Zusatz_GW_Nebelschluss_KL|aus|
0.17000|ESP_S_1|aktiv|---
0.17000|Motor_n|2281.00000000|1/min
0.17500|Lenkrad_W_B|4.46760000|°
0.17500|Lenkrad_W_R|links|---
0.17500|Lenkrad_W_v_B|0.00000000|°/s
0.17500|Lenkrad_W_v_R|links|°/s
0.17500|FZ_Gierrate|0.56000000|°/s
0.17500|FZ_a_y_1|-0.08027000|g
0.17600|ABS_E_1|regelt nicht|---
0.17600|Bremse_Pedal_S_2|nicht betaetigt|---
0.17600|FZ_a_y|-0.01800000|g
0.17600|Zusatz_Bremse_Licht_S|nicht aktiv|
