Version|5
Timestamp Start|20100914_123322
Timestamp Ende|20100914_123352
Triggernummer|364
Trigger-Timestamp|20100914_123342
DD-Sensor|
Konfiguration|
Triggergrund|ESP-Algorithmus
GPS Start|20100914_123322|51.03397000|13.74831300
GPS Ende|20100914_123351|51.03440500|13.74938300
GPS Trigger|20100914_123342|51.03349800|13.74944100
GPS alt|||
Zeit|Signal|Wert|Einheit
0.12833|ESP_E|regelt nicht|---
0.12833|ESP_KL|aus|
0.12833|Rad_n_VL|385.00000000|1/min
0.12833|Rad_n_VL_1|385.00000000|1/min
0.12833|Rad_n_VR|384.50000000|1/min
0.12900|Lenkrad_W_B|3.98580000|°
0.12900|Lenkrad_W_R|links|---
0.12900|Lenkrad_W_v_B|0.00000000|°/s
0.12900|Lenkrad_W_v_R|links|°/s
0.13033|Gang_Getriebe|4|---
0.13033|Gang_Wahl|4|---
0.13033|Zusatz_GW_Werkstatt_KL|aus|
0.13033|Zusatz_Gang_Anzeige_KI|m 4|---
0.13100|Airbag_WL|aus|---
0.13100|Airbag_WL_1|aus|---
0.13100|Gurt_VL|gesteckt|---
0.13100|Zusatz_GW_Gurt_WL|aus|
0.13167|ESP_S_1|aktiv|---
0.13167|Motor_n|1629.00000000|1/min
0.13433|GW_ESP_KL|aus|
0.13433|Gaspedal_W|0.00000000|%
0.13433|Zusatz_Kickdown|nicht betaetigt|---
0.13500|Motor_KL|aus|
0.13500|Zusatz_GW_Batterie_WL|aus|
0.13500|Zusatz_GW_KuehlMtemp_WL|aus|
0.13500|Zusatz_GW_Oeldruck_WL|aus|
0.13633|Lenkrad_W_B|3.98580000|°
0.13633|Lenkrad_W_R|links|---
0.13633|Lenkrad_W_v_B|0.00000000|°/s
0.13633|Lenkrad_W_v_R|links|°/s
0.13833|ESP_S_1|aktiv|---
0.13833|Motor_n|1628.00000000|1/min
0.14036|DR_Gierrate|-0.48828125|°/s
0.14107|DR_a_x|-0.04800000|g
0.14107|DR_a_y|0.04000000|g
0.14107|DR_a_z|1.02400000|g
0.14250|Blinker_L_S|aus|---
0.14250|Blinker_R_S|aus|---
0.14250|Blinker_Warnblinker_S|aus|---
0.14250|Licht_Abblend_S|an|---
0.14250|Licht_Fern_S|aus|---
0.14250|Licht_Hupe_S|aus|---
0.14250|Licht_Nebelschluss_S|aus|---
0.14250|Licht_Stand_S|an|---
0.14250|Zusatz_GW_Gurt_WL_1|aus|
0.14250|Zusatz_GW_Nebelschluss_KL|aus|
0.14393|ABS_E_1|regelt nicht|---
0.14393|Bremse_Pedal_S_2|nicht betaetigt|---
0.14393|FZ_a_y|0.00780000|g
0.14393|Zusatz_Bremse_Licht_S|nicht aktiv|
0.14464|ABS_E|regelt nicht|---
0.14464|Bremse_Pedal_S|nicht betaetigt|---
0.14607|FZ_Gierrate|0.48000000|°/s
0.14607|FZ_a_y_1|-0.03386000|g
0.14750|ESP_E_1|regelt nicht|---
0.14750|ESP_S|aktiv|
0.14750|Rad_n_HL|380.50000000|1/min
0.14750|Rad_n_HR|380.50000000|1/min
0.14750|Zusatz_Bremse_Moment|0.00000000|
0.14821|ABS_WL|aus|---
0.14821|Bremse_DOT_S|ok|---
0.14821|Bremse_Hand|geloest|---
0.14821|Bremse_Pedal_S_1|nicht betaetigt|---
0.14821|ESP_E|regelt nicht|---
0.14821|ESP_KL|aus|
0.14821|Rad_n_VL|383.50000000|1/min
0.14821|Rad_n_VL_1|383.50000000|1/min
0.14821|Rad_n_VR|384.00000000|1/min
0.14893|Lenkrad_W_B|3.98580000|°
0.14893|Lenkrad_W_R|links|---
0.14893|Lenkrad_W_v_B|0.00000000|°/s
0.14893|Lenkrad_W_v_R|links|°/s
